Date,Hour,HOEP
14-Jan-18,6,45.77
14-Jan-18,7,55.15
14-Jan-18,8,135.01
14-Jan-18,9,186.96
14-Jan-18,10,70.40
14-Jan-18,11,59.68
14-Jan-18,12,53.60
14-Jan-18,13,62.64
14-Jan-18,14,44.80
14-Jan-18,15,45.83
14-Jan-18,16,51.01
14-Jan-18,17,57.51
14-Jan-18,18,68.94
14-Jan-18,19,63.06
14-Jan-18,20,59.32
14-Jan-18,21,97.07
14-Jan-18,22,65.37
14-Jan-18,23,57.16
14-Jan-18,24,38.87
15-Jan-18,1,52.75
15-Jan-18,2,92.76
15-Jan-18,3,47.85
15-Jan-18,4,52.66
15-Jan-18,5,39.20
15-Jan-18,6,43.56
15-Jan-18,7,61.35
15-Jan-18,8,72.22
15-Jan-18,9,96.26
15-Jan-18,10,55.00
15-Jan-18,11,57.74
15-Jan-18,12,58.78
15-Jan-18,13,54.43
15-Jan-18,14,54.56
15-Jan-18,15,55.68
15-Jan-18,16,55.27
15-Jan-18,17,57.27
15-Jan-18,18,55.18
15-Jan-18,19,66.52
15-Jan-18,20,88.58
15-Jan-18,21,317.77
15-Jan-18,22,69.70
15-Jan-18,23,50.22
15-Jan-18,24,43.71
16-Jan-18,1,53.94
16-Jan-18,2,43.91
16-Jan-18,3,42.20
16-Jan-18,4,32.99
16-Jan-18,5,38.31
16-Jan-18,6,37.29
16-Jan-18,7,50.86
16-Jan-18,8,58.79
16-Jan-18,9,54.95
16-Jan-18,10,59.14
16-Jan-18,11,59.55
16-Jan-18,12,50.79
16-Jan-18,13,46.18
16-Jan-18,14,49.07
16-Jan-18,15,43.85
16-Jan-18,16,42.59
16-Jan-18,17,48.70
16-Jan-18,18,49.69
16-Jan-18,19,49.55
16-Jan-18,20,50.04
16-Jan-18,21,57.02
16-Jan-18,22,43.63
16-Jan-18,23,43.29
16-Jan-18,24,45.81
17-Jan-18,1,37.91
17-Jan-18,2,25.71
17-Jan-18,3,28.76
17-Jan-18,4,14.38
17-Jan-18,5,26.25
17-Jan-18,6,12.96
17-Jan-18,7,44.58
17-Jan-18,8,47.26
17-Jan-18,9,44.96
17-Jan-18,10,43.90
17-Jan-18,11,42.09
17-Jan-18,12,37.78
17-Jan-18,13,22.63
17-Jan-18,14,14.40
17-Jan-18,15,31.92
17-Jan-18,16,5.16
17-Jan-18,17,8.54
17-Jan-18,18,37.15
17-Jan-18,19,35.24
17-Jan-18,20,36.45
17-Jan-18,21,29.28
17-Jan-18,22,19.98
17-Jan-18,23,24.76
17-Jan-18,24,4.04
18-Jan-18,1,5.23
18-Jan-18,2,9.30
18-Jan-18,3,1.92
18-Jan-18,4,1.42
18-Jan-18,5,0.00
18-Jan-18,6,3.35
18-Jan-18,7,8.25
18-Jan-18,8,36.71
18-Jan-18,9,38.24
18-Jan-18,10,39.17
18-Jan-18,11,37.98
18-Jan-18,12,36.07
18-Jan-18,13,14.39
18-Jan-18,14,14.37
18-Jan-18,15,14.35
18-Jan-18,16,10.96
18-Jan-18,17,14.23
18-Jan-18,18,27.96
18-Jan-18,19,27.05
18-Jan-18,20,21.59
18-Jan-18,21,34.09
18-Jan-18,22,19.76
18-Jan-18,23,11.96
18-Jan-18,24,8.79
19-Jan-18,1,8.79
19-Jan-18,2,3.33
19-Jan-18,3,5.28
19-Jan-18,4,6.64
19-Jan-18,5,5.94
19-Jan-18,6,0.50
19-Jan-18,7,6.15
19-Jan-18,8,12.86
19-Jan-18,9,15.87
19-Jan-18,10,30.77
19-Jan-18,11,3.78
19-Jan-18,12,0.00
19-Jan-18,13,0.00
19-Jan-18,14,0.00
19-Jan-18,15,0.00
19-Jan-18,16,13.67
19-Jan-18,17,11.95
19-Jan-18,18,21.85
19-Jan-18,19,10.27
19-Jan-18,20,14.48
19-Jan-18,21,19.11
19-Jan-18,22,22.71
19-Jan-18,23,6.00
19-Jan-18,24,4.45
20-Jan-18,1,4.78
20-Jan-18,2,0.00
20-Jan-18,3,0.00
20-Jan-18,4,0.00
20-Jan-18,5,0.00
20-Jan-18,6,0.00
20-Jan-18,7,0.40
20-Jan-18,8,4.02
20-Jan-18,9,11.27
20-Jan-18,10,9.70
20-Jan-18,11,14.38
20-Jan-18,12,9.16
20-Jan-18,13,0.00
20-Jan-18,14,0.00
20-Jan-18,15,0.00
20-Jan-18,16,4.52
20-Jan-18,17,9.83
20-Jan-18,18,28.25
20-Jan-18,19,29.84
20-Jan-18,20,14.37
20-Jan-18,21,11.64
20-Jan-18,22,14.36
20-Jan-18,23,11.12
20-Jan-18,24,13.65
21-Jan-18,1,14.26
21-Jan-18,2,14.36
21-Jan-18,3,9.11
21-Jan-18,4,14.02
21-Jan-18,5,14.34
21-Jan-18,6,14.36
21-Jan-18,7,13.34
21-Jan-18,8,-2.67
21-Jan-18,9,14.39
21-Jan-18,10,14.40
21-Jan-18,11,14.39
21-Jan-18,12,14.38
21-Jan-18,13,14.38
21-Jan-18,14,33.71
21-Jan-18,15,29.11
21-Jan-18,16,25.30
21-Jan-18,17,35.02
21-Jan-18,18,35.39
21-Jan-18,19,34.33
21-Jan-18,20,35.49
21-Jan-18,21,34.08
21-Jan-18,22,33.44
21-Jan-18,23,28.98
21-Jan-18,24,26.31
22-Jan-18,1,47.50
22-Jan-18,2,39.53
22-Jan-18,3,18.69
22-Jan-18,4,15.82
22-Jan-18,5,17.68
22-Jan-18,6,57.09
22-Jan-18,7,56.58
22-Jan-18,8,140.61
22-Jan-18,9,35.59
22-Jan-18,10,28.15
22-Jan-18,11,24.21
22-Jan-18,12,15.15
22-Jan-18,13,15.53
22-Jan-18,14,27.29
22-Jan-18,15,14.37
22-Jan-18,16,17.24
22-Jan-18,17,20.20
22-Jan-18,18,30.44
22-Jan-18,19,32.33
22-Jan-18,20,30.55
22-Jan-18,21,18.23
22-Jan-18,22,35.37
22-Jan-18,23,29.88
22-Jan-18,24,11.01
23-Jan-18,1,57.18
23-Jan-18,2,10.91
23-Jan-18,3,8.66
23-Jan-18,4,0.00
23-Jan-18,5,0.00
23-Jan-18,6,0.00
23-Jan-18,7,0.00
23-Jan-18,8,9.84
23-Jan-18,9,13.32
23-Jan-18,10,9.02
23-Jan-18,11,8.55
23-Jan-18,12,13.35
23-Jan-18,13,13.35
23-Jan-18,14,13.33
23-Jan-18,15,13.34
23-Jan-18,16,12.72
23-Jan-18,17,9.57
23-Jan-18,18,27.85
23-Jan-18,19,32.68
23-Jan-18,20,21.91
23-Jan-18,21,29.64
23-Jan-18,22,12.15
23-Jan-18,23,7.92
23-Jan-18,24,3.76
24-Jan-18,1,11.61
24-Jan-18,2,12.09
24-Jan-18,3,13.33
24-Jan-18,4,9.69
24-Jan-18,5,10.92
24-Jan-18,6,3.17
24-Jan-18,7,32.59
24-Jan-18,8,74.68
24-Jan-18,9,40.63
24-Jan-18,10,40.16
24-Jan-18,11,38.57
24-Jan-18,12,37.40
24-Jan-18,13,30.06
24-Jan-18,14,25.65
24-Jan-18,15,13.35
24-Jan-18,16,21.20
24-Jan-18,17,29.76
24-Jan-18,18,49.44
24-Jan-18,19,43.92
24-Jan-18,20,46.59
24-Jan-18,21,59.21
24-Jan-18,22,37.17
24-Jan-18,23,32.35
24-Jan-18,24,40.09
